store_id,가게명,영업시간,전화번호,주소
1,이삭토스트-전주전북대점,09:30 - 19:40,050720815354 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 664-15
2,도미노피자-전주금암점,11:00 - 21:50,050712976397 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1588-22 켐퓨터할인매장 1588-22 켐퓨터할인매장 1층
3,BHC-전주금암진북점,11:00 - 00:30,050352582479 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 461-14 1층 일부호
4,뚜레쥬르-전북대사대부고점,09:00 - 22:00,050718614995 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 632-144 632-144
5,디디치킨-전북대점,09:00 - 00:30,050712955713 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 545-18 545-18 1층 1호
6,맥도날드-전주덕진DT점,08:00 - 02:00,050712974413 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1401-18 맥도날드 1401-18 맥도날드
7,롯데리아-전북대점,09:30 - 00:00,050712901888 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1261-31 1층
8,부대찌개대사관-전주전북대점,11:00 - 21:30,050352687554 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1314-176 1층 103호
9,1992덮밥앤짜글이-덕진점,10:40 - 21:00,050352937287 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1596-33 1596-33
10,마라시대-전북대점,11:00 - 01:30,050352935099 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1546-5 1층
11,동대문엽기떡볶이-전북대점,09:30 - 23:40,050352572771 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1312-58 1312-58 2층
12,한솥도시락-전북대후문점,09:00 - 19:50,050716623926 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 1543-8 한솥도시락전북대후문점 6호
13,만배식탁-전북대점,10:00 - 21:40,05079789626 (요기요 제공 번호),전북특별자치도 전주시 덕진구 덕진동1가 1314-160 1층
14,뜸들이다-전북대점,10:00 - 20:00,050702788392 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1544-1 1544-1 1층
15,푸줏간고기도시락-전북대점,11:00 - 01:45,050720813660 (요기요 제공 번호),전북특별자치도 전주시 덕진구 금암동 1546-5 1층
16,꾸꾸삼겹-전북대점,11:00 - 15:00,050702869059 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 631-293 1층
17,1인삼겹오빠삼-덕진점,10:40 - 21:00,050718652637 (요기요 제공 번호),전라북도 전주시 덕진구 금암동 1596-33 1596-33
18,한솥도시락-전북대정문점,09:20 - 14:20,050712972990 (요기요 제공 번호),전라북도 전주시 덕진구 덕진동1가 1312-70 1층(덕진동1가)
